SiteUrl,GroupName
https://gianteagle.sharepoint.com/teams/CustomerIntelligence,Customer Intelligence Members
https://gianteagle.sharepoint.com/teams/CustomerIntelligence,Customer Intelligence Owners
https://gianteagle.sharepoint.com/teams/CustomerIntelligence,Mystery Shop Users
https://gianteagle.sharepoint.com/teams/CustomerIntelligence,Rx Team - CI Site
https://gianteagle.sharepoint.com/teams/CustomerIntelligence,Circana Visitors-CI Site
https://gianteagle.sharepoint.com/teams/CustomerIntelligence,Marketing and CRM Visitors_CI Site
https://gianteagle.sharepoint.com/teams/CustomerIntelligence,Visitors -Customer Intelligence
https://gianteagle.sharepoint.com/teams/CustomerIntelligence,Visitors - Nielsen CI Site 
